Country,Quarter,Amount
Jamaica,2021 Q4,4
Jamaica,2022 Q1,9
Jamaica,2022 Q2,4
Jamaica,2022 Q3,0
Mexico,2021 Q1,25
Mexico,2021 Q2,91
Mexico,2021 Q3,60
Mexico,2021 Q4,66
Mexico,2022 Q1,30
Mexico,2022 Q2,50
Mexico,2022 Q3,48
Panama,2021 Q1,4
Panama,2021 Q2,4
Panama,2021 Q3,308
Panama,2021 Q4,2
Panama,2022 Q1,12
Panama,2022 Q2,4
Panama,2022 Q3,0
Peru,2021 Q1,10
Peru,2021 Q2,4
Peru,2021 Q3,1
Peru,2021 Q4,2
Peru,2022 Q1,1
Peru,2022 Q2,0
Peru,2022 Q3,1
Trinidad and Tobago,2021 Q1,9
Trinidad and Tobago,2021 Q2,0
Trinidad and Tobago,2021 Q3,4
Trinidad and Tobago,2021 Q4,13
Trinidad and Tobago,2022 Q1,8
Trinidad and Tobago,2022 Q2,2
Trinidad and Tobago,2022 Q3,4
United States,2021 Q1,117
United States,2021 Q2,224
United States,2021 Q3,197
United States,2021 Q4,202
United States,2022 Q1,164
United States,2022 Q2,312
United States,2022 Q3,201
Uruguay,2021 Q1,0
Uruguay,2021 Q2,2
Uruguay,2021 Q3,3
Uruguay,2021 Q4,4
Uruguay,2022 Q1,0
Uruguay,2022 Q2,6
Uruguay,2022 Q3,2
Venezuela,2021 Q1,20
Venezuela,2021 Q2,0
Venezuela,2021 Q3,0
Venezuela,2021 Q4,2
Venezuela,2022 Q1,4
Venezuela,2022 Q2,8
Venezuela,2022 Q3,0
Bahrain,2021 Q1,18
Bahrain,2021 Q2,12
Bahrain,2021 Q3,18
Bahrain,2021 Q4,36
Bahrain,2022 Q1,23
Bahrain,2022 Q2,10
Bahrain,2022 Q3,17
Bangladesh,2021 Q1,11
Bangladesh,2021 Q2,17
Bangladesh,2021 Q3,17
Bangladesh,2021 Q4,26
Bangladesh,2022 Q1,13
Bangladesh,2022 Q2,1
Bangladesh,2022 Q3,7
China,2021 Q1,1865
China,2021 Q2,1500
China,2021 Q3,2155
China,2021 Q4,2290
China,2022 Q1,2940
China,2022 Q2,1387
China,2022 Q3,983
Hong Kong,2021 Q1,28
Hong Kong,2021 Q2,13
Hong Kong,2021 Q3,12
Hong Kong,2021 Q4,21
Hong Kong,2022 Q1,20
Hong Kong,2022 Q2,18
Hong Kong,2022 Q3,18
India,2021 Q1,1105
India,2021 Q2,751
India,2021 Q3,1073
India,2021 Q4,492
India,2022 Q1,591
India,2022 Q2,679
India,2022 Q3,550
Indonesia,2021 Q1,58
Indonesia,2021 Q2,28
Indonesia,2021 Q3,12
Indonesia,2021 Q4,6
Indonesia,2022 Q1,23
Indonesia,2022 Q2,7
Indonesia,2022 Q3,11
Iran,2021 Q1,0
Iran,2021 Q2,0
Iran,2021 Q3,20
Iran,2021 Q4,10
Iran,2022 Q1,8
Iran,2022 Q2,5
Iran,2022 Q3,0
Iraq,2021 Q1,0
Iraq,2021 Q2,2
Iraq,2021 Q3,8
Iraq,2021 Q4,0
